Adversary name,Adversary code,Technique list
Ransack,de07f52d-9928-4071-9142-cb1d3bd851e8,"['T1005', 'T1033', 'T1087.001', 'T1087.001', 'T1016', 'T1057', 'T1135', 'T1018', 'T1518.001', 'T1069.001', 'T1518.001', 'T1018', 'T1217', 'T1074.001', 'T1005', 'T1074.001', 'T1560.001', 'T1041']"
Enumerator,d6ea4c1e-7959-4eb1-a292-b6fd2b06c73e,"['T1047', 'T1057', 'T1057', 'T1518.001', 'T1057']"
Advanced Thief via DropBox,01c96671-afd3-47d4-8d31-8c116cc0221a,"['T1119', 'T1560.001', 'T1567.002']"
Service Creation Lateral Movement,dbd49a4a-ba2d-40d0-9348-2db24fc4b0b6,"['T1135', 'T1021.002', 'T1569.002']"
Advanced Thief via FTP,fbc41624-1052-490c-b5ec-4fd718e2501d,"['T1119', 'T1560.001', 'T1048.003']"
Nosy Neighbor,0b73bf34-fc5b-48f7-9194-dce993b915b1,"['T1070.003', 'T1033', 'T1018', 'T1057', 'T1016', 'T1016', 'T1499']"
Signed Binary Proxy Execution,bcdbf6b9-14c5-495c-be84-37bce32c312b,"['T1003.001', 'T1055.001', 'T1055.002']"
Advanced Thief via GitHub Repo,09ad625e-6cba-490f-afe3-5417e7edb9c6,"['T1119', 'T1560.001', 'T1567.001']"
Super Spy,564ae20d-778d-4965-93dc-b523be2e2ab4,"['T1113', 'T1115', 'T1217', 'T1496', 'T1074.001', 'T1005', 'T1074.001', 'T1560.001', 'T1041', 'T1005', 'T1518.001', 'T1016', 'T1016', 'T1040', 'T1059.002']"
Worm,78e7504d-968f-477d-8806-4d6c04b94431,"['T1005', 'T1552.003', 'T1135', 'T1018', 'T1003.001', 'T1018', 'T1018', 'T1021.002', 'T1021.002', 'T1570', 'T1047', 'T1021.006', 'T1021.004']"
Check,01d77744-2515-401a-a497-d9f7241aac3c,"['T1033', 'T1083', 'T1083', 'T1057', 'T1016', 'T1518', 'T1518', 'T1518']"
